"Diện tích, dân số và mật độ dân số phân theo địa phương chia theo Địa phương, Năm và Chỉ tiêu"

" ";"2017";" ";" ";"2018";" ";" ";"2019 (*)";" ";" "
" ";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)";"Diện tích(Km2)";"Dân số trung bình (Nghìn người)";"Mật độ dân số (Người/km2)"
"Bình Phước";6876.8;968.9;141.0;6876.8;979.6;142.0;6876.8;997.8;145.0
"Tây Ninh";4041.3;1126.2;279.0;4041.3;1133.4;280.0;4041.3;1171.7;290.0
"Bình Dương";2694.6;2071.0;769.0;2694.6;2163.6;803.0;2694.6;2456.3;912.0
"Đồng Nai";5863.6;3027.3;516.0;5863.6;3086.1;526.0;5863.6;3113.7;531.0
"Bà Rịa - Vũng Tàu";1981.0;1101.6;556.0;1981.0;1112.9;562.0;1981.0;1152.2;582.0
"TP.Hồ Chí Minh";2061.2;8444.6;4097.0;2061.4;8598.7;4171.0;2061.4;9038.6;4385.0
"Đồng bằng sông Cửu Long";40816.3;17738.0;435.0;40816.4;17804.7;436.0;40816.4;17282.5;423.0
"Long An";4494.9;1496.8;333.0;4494.9;1503.1;334.0;4494.9;1695.1;377.0
"Tiền Giang";2510.6;1751.8;698.0;2510.6;1762.3;702.0;2510.6;1766.3;704.0
"Bến Tre";2394.7;1266.7;529.0;2394.8;1268.2;530.0;2394.8;1289.1;538.0
"Trà Vinh";2358.3;1045.6;443.0;2358.3;1049.8;445.0;2358.3;1009.3;428.0
"Vĩnh Long";1525.7;1050.2;688.0;1525.7;1051.8;689.0;1525.7;1022.6;670.0
"Đồng Tháp";3383.8;1690.3;500.0;3383.8;1693.3;500.0;3383.8;1598.8;472.0
"An Giang";3536.7;2161.7;611.0;3536.7;2164.2;612.0;3536.7;1907.4;539.0
"Kiên Giang";6348.8;1792.6;282.0;6348.8;1810.5;285.0;6348.8;1723.7;272.0
"Cần Thơ";1439.0;1272.8;885.0;1439.0;1282.3;891.0;1439.0;1236.0;859.0
"Hậu Giang";1621.7;774.6;478.0;1621.7;776.7;479.0;1621.7;732.2;451.0
"Sóc Trăng";3311.9;1314.3;397.0;3311.9;1315.9;397.0;3311.9;1199.5;362.0
"Bạc Liêu";2669.0;894.3;335.0;2669.0;897.0;336.0;2669.0;908.2;340.0
"Cà Mau";5221.2;1226.3;235.0;5221.2;1229.6;236.0;5221.2;1194.3;229.0

"(*) Diện tích có đến 31/12/2018 theo Quyết định số 2908/QĐ-BTNMT "
"ngày 13 tháng 11 năm 2019 của Bộ trưởng Bộ Tài nguyên và Môi "
"trường. "
""

