"Diện tích sàn xây dựng nhà ở hoàn thành trong năm phân theo vùng chia theo Vùng và Năm"

" ";"2016";"2017";"2018"
"TỔNG SỐ";102488;102532;103849
"Đồng bằng sông Hồng";24484;27801;29797
"Trung du và miền núi phía Bắc";14051;14752;15551
"Bắc Trung Bộ và duyên hải miền Trung";19958;21381;21849
"Tây Nguyên";5829;5721;5630
"Đông Nam Bộ";16917;13859;12732
"Đồng bằng sông Cửu Long";21249;19018;18290

