"Sản lượng sản phẩm chăn nuôi chủ yếu chia theo Sản phẩm chăn nuôi chủ yếu và Năm"

" ";"2017";"2018";"Sơ bộ 2019"
"Sản lượng thịt trâu hơi xuất chuồng (Nghìn tấn)";88.0;92.1;94.5
"Sản lượng thịt bò hơi xuất chuồng (Nghìn tấn)";321.7;334.5;355.3
"Sản lượng thịt lợn hơi xuất chuồng (Nghìn tấn)";3733.3;3873.9;3328.8
"Sản lượng thịt gia cầm hơi giết, bán (Nghìn tấn)";1031.9;1097.5;1302.5
"Sản lượng sữa tươi (Triệu lít)";881.3;934.8;986.1
"Trứng gia cầm (Triệu quả)";10637.1;11645.6;13278.9
"Sản lượng mật ong (Tấn)";18755.2;20414.8;21847.3
"Sản lượng kén tằm (Tấn)";7354.6;8144.9;11854.9

