"Dân số trung bình phân theo địa phương, giới tính và thành thị nông thôn (*) by Tỉnh, thành phố, Dân số trung bình and Năm"

" ";"Tổng số";" ";" ";"Nam";" ";" ";"Nữ";" ";" ";"Thành thị";" ";" ";"Nông thôn";" ";" "
" ";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019";"2017";"2018";"Sơ bộ 2019"
"Bình Ðịnh";1487.7;1487.8;1487.8;729.1;730.7;732.7;758.7;757.1;755.1;474.2;475.5;476.8;1013.5;1012.2;1011.0
"Phú Yên";870.0;871.5;873.2;437.2;438.2;439.2;432.8;433.3;433.9;249.9;250.5;251.0;620.2;621.0;622.2
"Khánh Hoà";1216.3;1224.5;1232.8;604.3;608.9;613.5;612.0;615.6;619.4;508.2;514.7;521.3;708.1;709.8;711.5
"Ninh Thuận";585.4;588.9;591.0;293.2;295.1;296.4;292.2;293.8;294.7;209.6;210.7;211.3;375.7;378.1;379.7
"Bình Thuận";1220.5;1227.3;1232.3;612.8;616.5;619.2;607.6;610.8;613.1;467.7;468.8;469.3;752.8;758.4;763.0
"Tây Nguyên";5725.5;5796.4;5861.3;2888.5;2923.7;2955.8;2837.0;2872.7;2905.5;1638.2;1661.0;1681.7;4087.3;4135.4;4179.6
"Kon Tum";520.1;532.4;543.4;261.7;267.7;273.1;258.3;264.6;270.4;167.8;171.0;173.7;352.2;361.4;369.7
"Gia Lai";1468.9;1495.7;1520.2;736.3;749.6;761.7;732.6;746.1;758.4;424.3;432.6;440.3;1044.7;1063.1;1079.9
"Ðắk Lắk";1850.3;1861.5;1872.6;933.2;938.7;944.2;917.1;922.8;928.4;454.9;459.1;463.3;1395.4;1402.4;1409.3
"Ðắk Nông";604.9;615.4;625.8;312.3;317.4;322.5;292.6;298.0;303.3;91.6;93.7;95.4;513.3;521.7;530.4
"Lâm Ðồng";1281.3;1291.4;1299.3;645.0;650.2;654.3;636.4;641.2;645.0;499.6;504.6;509.0;781.7;786.8;790.3
"Ðông Nam Bộ";17132.6;17527.4;17930.3;8448.7;8657.1;8870.4;8683.9;8870.3;9059.8;10679.9;11018.9;11617.6;6452.7;6508.5;6312.7
"Bình Phước";972.6;984.9;997.8;491.0;496.9;503.0;481.6;488.1;494.8;216.6;227.3;238.5;755.9;757.6;759.2
"Tây Ninh";1151.1;1160.7;1171.7;574.7;579.8;585.5;576.4;580.9;586.2;207.5;207.8;208.3;943.6;952.9;963.4
"Bình Dương";2227.2;2345.2;2456.3;1110.9;1175.2;1236.4;1116.2;1170.0;1219.9;1696.9;1875.7;1961.9;530.3;469.5;494.5
"Ðồng Nai";3004.9;3055.1;3113.7;1503.7;1530.8;1562.2;1501.2;1524.3;1551.5;990.6;1006.3;1371.8;2014.3;2048.7;1742.0
"Bà Rịa - Vũng Tàu";1127.2;1138.3;1152.2;565.3;571.0;578.2;562.0;567.3;574.0;639.8;656.7;675.6;487.4;481.6;476.6
"TP.Hồ Chí Minh";8649.6;8843.2;9038.6;4203.1;4303.6;4405.1;4446.5;4539.7;4633.4;6928.5;7045.1;7161.5;1721.2;1798.2;1877.0
"Ðồng bằng sông Cửu Long";17279.5;17280.7;17282.5;8595.1;8597.1;8599.6;8684.3;8683.5;8682.9;4279.9;4307.3;4357.7;12999.7;12973.4;12924.8
"Long An";1662.3;1678.9;1695.1;828.4;837.1;845.5;833.9;841.9;849.6;271.8;272.2;272.5;1390.5;1406.7;1422.6
"Tiền Giang";1751.8;1759.1;1766.3;859.3;863.0;866.9;892.5;896.1;899.4;245.3;246.3;247.3;1506.6;1512.8;1519.0
"Bến Tre";1282.4;1286.0;1289.1;627.8;629.4;630.8;654.6;656.6;658.4;126.2;126.3;126.4;1156.2;1159.7;1162.7
"Trà Vinh";1008.1;1008.8;1009.3;496.4;496.7;496.9;511.7;512.1;512.4;169.8;172.0;174.1;838.3;836.8;835.2
"Vĩnh Long";1022.6;1022.7;1022.6;503.7;503.8;503.8;518.9;518.9;518.8;169.4;169.7;169.8;853.2;853.0;852.8
"Ðồng Tháp";1612.5;1606.1;1598.8;805.3;802.4;798.9;807.1;803.7;799.9;291.6;292.3;304.7;1320.9;1313.8;1294.1
"An Giang";1954.2;1931.0;1907.4;970.4;958.9;947.1;983.8;972.2;960.3;605.6;605.0;602.6;1348.6;1326.0;1304.8
"Kiên Giang";1712.9;1718.1;1723.7;867.5;870.5;873.7;845.4;847.6;850.0;480.6;484.6;488.8;1232.3;1233.5;1234.9
"Cần Thơ";1222.4;1227.7;1236.0;606.3;608.9;612.9;616.1;618.8;623.0;842.7;850.6;861.3;379.8;377.1;374.7
"Hậu Giang";737.3;734.9;732.2;368.8;367.4;365.7;368.5;367.5;366.4;178.9;183.0;197.7;558.3;551.9;534.4
