Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
201,7.4,8.2,6.7,7.5,8.6,7.8,8.7,7.3,7.7,7.2,8.3,7,7.9,7.8,0,K
202,5.8,5.8,5.7,6.9,7.8,6.7,6.7,6.6,8.8,7.1,5.4,7,8.0,6.8,0,K
203,7.0,8.1,6.7,8.4,9.4,8.5,9.3,7.7,8.4,8.2,8.8,7,8.0,8.2,1,G
204,8.2,8.7,7.8,9.1,8.9,7.8,9.4,8.3,8.2,8.0,9.3,7,8.2,8.5,1,G
205,7.7,8.3,7.2,8.3,8.8,8.0,9.4,9.2,7.4,8.8,7.7,7,7.9,8.2,0,G
206,7.1,7.5,6.4,7.0,8.3,7.5,8.3,6.6,7.4,7.5,7.1,7,8.0,7.4,0,K
207,6.0,7.8,5.9,8.0,7.7,6.9,7.5,6.2,7.1,7.4,7.1,7,7.9,7.1,2,K
208,8.9,8.8,7.3,8.7,8.9,8.1,9.5,8.3,8.9,8.7,8.1,7,7.9,8.5,0,G
209,9.1,9.4,7.9,8.1,8.8,8.1,9.0,9.1,7.9,8.7,8.0,7,8.0,8.5,0,G
210,9.0,9.1,7.8,8.4,9.2,8.2,8.6,8.7,8.7,8.7,8.9,7,8.1,8.6,3,G
211,9.3,9.5,7.6,8.9,8.8,8.4,9.7,8.7,8.7,8.8,9.6,7,8.0,8.8,0,G
212,6.5,8.4,7.1,7.8,9.1,8.0,9.5,7.6,7.4,8.5,7.8,7,8.2,8.0,0,G
213,8.7,8.5,6.8,8.3,9.1,8.0,9.3,7.8,7.9,8.3,8.1,7,8.2,8.3,1,G
214,5.3,7.4,6.2,7.1,8.8,7.5,8.3,7.9,6.5,7.4,7.4,7,8.2,7.3,1,K
215,9.5,9.4,7.9,8.2,9.4,8.7,9.4,8.9,8.9,9.1,9.0,7,8.1,8.9,0,G
216,8.0,6.6,6.2,7.1,7.8,7.7,8.3,7.7,6.9,8.0,7.2,7,8.2,7.5,0,K
217,8.4,8.6,7.1,7.6,9.4,7.8,8.9,7.6,7.9,7.9,7.8,7,8.0,8.1,1,G
218,8.0,9.0,6.8,9.4,9.1,7.7,8.9,8.1,7.9,7.7,9.4,7,8.1,8.3,0,G
219,9.9,9.9,9.3,9.5,9.7,8.3,9.7,9.5,9.2,9.2,9.9,7,8.1,9.4,0,G
220,8.2,8.0,7.1,8.3,8.7,7.6,9.5,8.1,8.3,7.7,8.7,7,8.1,8.2,0,G
221,9.0,9.0,7.4,8.5,9.0,8.1,9.6,8.4,8.2,8.4,8.8,7,8.2,8.6,0,G
222,9.0,8.9,8.5,9.1,8.9,8.0,9.6,8.0,8.9,8.8,8.8,7,8.1,8.7,0,G
223,9.6,9.0,8.7,8.7,9.3,8.0,9.4,8.5,9.1,8.2,8.2,7,8.2,8.7,1,G
