Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
46,6.7,8.0,7.5,8.4,9.3,8.0,8.6,7.6,6.7,8.4,7.9,7,8.3,8.0,3,G
47,8.0,9.0,8.8,9.0,9.3,7.0,9.1,8.9,8.1,8.8,9.0,7,8.2,8.6,0,G
48,6.3,7.5,7.0,7.7,9.4,6.6,8.6,6.7,6.6,8.0,8.0,7,8.5,7.6,0,K
49,6.3,7.9,7.9,8.1,9.4,7.0,8.6,7.3,6.6,8.1,8.2,7,7.8,7.8,0,K
50,5.4,6.5,6.7,7.2,9.2,5.9,6.3,6.4,7.2,8.4,8.0,7,8.2,7.1,3,TB
51,6.6,8.0,8.3,7.8,9.4,7.3,8.6,6.8,8.7,8.3,8.4,7,8.4,8.1,0,K
52,9.2,9.1,9.1,9.7,9.4,8.4,9.4,9.0,9.3,8.8,9.0,7,8.8,9.1,0,G
53,8.2,8.7,8.7,8.7,9.4,7.7,8.9,7.8,9.0,7.9,8.5,7,8.1,8.5,1,G
54,8.3,8.2,9.1,9.0,9.4,6.6,8.7,8.9,9.2,8.6,7.3,7,8.0,8.4,0,G
55,7.6,7.2,8.1,8.8,9.4,7.1,8.5,7.1,7.7,8.9,7.9,7,8.3,8.1,3,K
56,6.2,7.5,6.6,6.6,9.1,6.0,7.0,7.7,6.2,8.3,7.2,7,8.7,7.3,0,TB
57,6.0,7.2,7.8,8.0,9.4,8.2,8.5,8.2,7.2,8.9,8.3,7,8.1,8.0,0,K
58,5.9,8.4,8.2,8.9,9.7,7.5,8.3,7.2,7.7,8.5,8.1,7,8.0,8.0,0,K
59,6.5,7.1,7.9,8.9,9.4,7.6,8.7,7.7,6.8,8.6,8.4,7,7.7,7.9,1,K
60,7.4,9.0,8.7,9.0,9.3,7.7,9.0,9.1,7.4,8.7,8.9,7,8.2,8.5,0,K
61,7.8,7.3,7.6,7.8,9.4,7.4,8.8,8.2,7.8,8.5,8.4,7,8.6,8.1,0,K
62,5.7,7.4,7.0,7.2,9.3,7.5,9.3,8.1,7.5,8.4,7.6,7,8.3,7.8,0,K
63,7.2,7.7,7.0,7.8,9.0,7.2,7.1,7.1,7.9,8.6,8.4,7,8.5,7.8,0,K
64,7.5,9.2,8.2,8.7,9.4,8.4,9.2,8.4,8.5,8.8,9.0,7,8.5,8.7,3,G
65,6.6,9.4,8.2,8.2,9.5,8.0,8.9,7.7,7.2,7.9,8.3,7,8.2,8.2,0,G
66,4.5,7.5,7.0,7.2,9.3,8.3,7.8,8.6,6.5,7.9,7.8,7,8.2,7.6,0,TB
67,6.5,8.2,7.1,7.7,9.3,7.7,8.4,8.0,8.0,8.3,8.7,7,8.4,8.0,2,K
68,4.4,7.1,6.0,7.9,9.4,7.5,7.5,7.6,6.8,8.1,7.7,7,8.3,7.4,3,TB
69,6.3,7.9,6.0,7.5,9.3,8.0,6.8,7.6,7.3,8.1,7.4,7,8.1,7.5,1,K
70,6.1,6.6,7.4,8.0,9.3,7.3,8.9,7.8,6.2,8.1,7.9,7,8.2,7.7,0,K
71,6.0,8.3,8.4,8.5,9.5,8.6,9.3,8.2,6.5,9.5,9.0,7,8.2,8.3,1,K
72,6.8,7.3,6.2,7.9,9.2,7.6,8.0,7.5,7.2,8.3,7.1,7,8.8,7.7,1,K
73,4.3,7.5,6.7,8.0,9.0,7.0,8.9,7.8,7.4,8.6,8.2,7,8.0,7.6,0,TB
74,5.4,7.5,6.4,7.8,9.6,7.3,8.6,7.5,7.3,8.8,8.3,7,8.2,7.7,0,K
75,9.7,9.3,8.9,9.0,9.8,8.0,9.6,9.1,8.2,8.6,9.2,7,8.0,9.0,1,G
76,8.1,8.7,9.1,9.0,9.6,8.0,9.2,7.6,8.3,9.2,8.5,7,8.1,8.6,3,G
77,8.0,8.5,7.6,8.9,9.6,7.6,8.5,8.5,7.5,8.6,8.7,7,8.3,8.4,0,G
78,9.6,7.9,8.5,9.6,9.3,8.0,9.3,8.3,7.1,9.1,8.9,7,8.7,8.7,0,G
79,8.7,7.7,7.9,9.2,9.4,7.4,9.3,8.8,7.2,9.0,8.0,7,8.3,8.4,0,G
80,7.5,7.8,8.2,8.8,9.4,7.1,7.8,7.9,6.9,8.5,8.3,7,8.1,8.0,0,K
81,8.1,8.2,8.6,8.6,9.6,8.4,8.6,9.0,8.3,9.3,9.0,7,8.5,8.7,1,G
82,6.9,8.1,7.6,9.1,9.3,8.0,8.5,8.4,7.4,8.7,8.0,7,8.3,8.2,0,G
83,8.3,8.0,7.9,8.2,9.3,6.6,8.6,7.0,7.1,8.6,8.4,7,8.1,8.0,2,G
84,9.2,8.7,8.8,9.3,9.7,7.8,9.4,9.1,8.7,9.2,9.0,7,8.1,8.9,0,G
85,6.7,7.9,7.1,7.9,9.1,7.6,8.8,8.0,8.6,9.1,8.2,7,8.1,8.1,0,K
86,7.5,7.7,7.8,8.3,9.3,7.1,9.3,7.5,6.9,8.8,8.0,7,8.2,8.0,6,K
87,7.6,8.5,6.9,9.1,9.3,8.0,9.1,7.6,7.4,9.0,8.8,7,8.6,8.3,0,G
88,9.3,8.7,8.4,8.8,9.6,6.9,8.7,8.0,7.0,8.8,8.4,7,8.2,8.4,0,G
89,9.1,8.9,8.5,9.3,9.3,7.3,9.1,8.3,7.4,8.8,8.5,7,7.9,8.5,0,G
90,9.1,8.3,7.4,9.4,9.3,8.4,9.6,8.9,8.7,9.3,8.4,7,7.7,8.7,0,G
91,8.3,7.0,7.2,8.8,9.5,8.0,9.0,7.9,6.9,9.0,8.1,7,8.2,8.2,0,G
92,8.0,8.2,7.8,8.6,9.4,8.2,9.4,8.8,8.0,9.2,8.9,7,8.3,8.6,0,G
93,8.4,8.5,7.9,9.4,9.3,8.2,9.3,8.5,7.7,8.8,8.6,7,8.0,8.6,0,G
94,8.0,8.4,6.9,9.2,9.4,8.0,9.3,8.9,8.8,9.1,8.6,7,8.3,8.6,0,G
95,7.7,7.8,6.7,8.6,9.4,8.2,8.9,8.9,7.1,9.1,8.8,7,8.3,8.3,1,G
96,7.3,8.6,8.3,9.1,9.7,7.6,9.5,9.1,8.3,8.8,8.8,7,7.7,8.6,0,K
97,7.5,8.7,8.3,8.3,9.4,7.7,9.1,7.7,9.4,8.9,7.9,7,8.2,8.4,1,K
98,9.5,8.6,9.2,9.1,9.5,7.3,9.3,8.9,7.2,8.6,8.3,7,8.0,8.6,0,G
99,7.8,7.9,7.6,9.0,9.3,6.9,8.6,7.9,7.6,8.3,8.6,7,8.2,8.1,0,K
100,8.3,8.8,8.4,8.8,9.3,7.1,8.6,8.3,7.5,9.1,8.2,7,8.5,8.4,5,G
101,6.7,6.9,6.4,7.9,9.4,6.8,7.3,7.5,6.3,9.0,7.6,7,8.0,7.5,3,K
102,7.8,6.8,7.6,8.7,9.5,8.1,8.7,8.2,8.2,8.7,8.7,7,8.0,8.3,0,G
103,8.9,9.0,7.6,8.7,9.8,7.4,8.8,7.9,8.4,8.5,8.1,7,8.0,8.4,1,G
104,9.2,8.6,8.7,9.1,9.4,6.8,8.6,8.7,7.8,8.5,8.2,7,7.9,8.5,0,G
105,8.7,8.7,7.3,8.9,9.6,7.6,8.9,8.6,7.1,8.9,8.3,7,8.3,8.4,0,G
106,8.3,8.5,7.7,8.8,9.6,7.8,8.8,8.7,8.0,8.9,8.2,7,8.3,8.5,0,G
107,6.7,7.8,7.4,8.9,9.3,8.3,9.2,9.2,7.2,9.0,8.1,7,8.1,8.3,1,G
108,8.8,9.0,8.4,8.6,9.3,7.3,8.7,7.7,6.6,8.7,7.8,7,8.1,8.3,0,G
109,8.3,8.9,8.3,9.2,9.4,8.0,9.0,8.9,8.6,9.1,8.4,7,8.1,8.7,0,G
110,8.6,8.1,9.3,9.5,9.6,8.4,9.5,9.0,7.3,8.9,8.3,7,8.1,8.7,0,G
111,7.5,8.3,7.5,9.4,9.8,8.0,9.2,8.7,8.4,9.1,8.5,7,8.1,8.5,0,G
112,8.0,8.4,8.4,9.1,9.5,7.8,9.0,8.8,7.7,9.2,8.7,7,8.0,8.6,1,G
113,6.2,8.1,6.6,6.9,9.1,8.4,8.3,7.1,8.0,7.9,7.7,7,8.1,7.7,0,K
114,8.4,8.8,6.8,8.0,9.5,8.4,9.0,8.2,8.7,8.5,8.0,7,8.3,8.4,2,G
115,5.0,7.4,5.5,6.5,9.1,8.1,7.5,6.1,8.5,8.3,7.7,7,8.1,7.3,2,K
116,7.7,8.5,6.5,8.5,9.6,8.3,9.0,7.6,8.6,8.8,8.5,7,8.1,8.3,1,G
117,6.6,8.7,6.9,7.8,9.3,8.6,9.5,7.4,9.0,9.0,8.4,7,7.5,8.2,0,G
118,4.3,7.6,5.7,6.8,9.4,8.6,8.5,7.5,7.5,8.1,7.4,7,8.5,7.5,0,K
119,8.3,8.4,7.0,8.3,9.4,8.7,9.4,8.0,8.8,9.0,8.7,7,7.9,8.5,0,G
120,9.0,8.8,7.5,9.0,9.5,9.0,9.6,9.3,8.3,9.5,9.1,7,8.2,8.9,1,G
121,5.8,8.4,6.8,7.8,9.4,8.1,8.5,7.8,7.9,8.2,7.5,7,8.4,7.9,0,K
122,6.2,8.5,6.8,8.6,9.6,8.9,8.5,8.3,9.7,8.5,8.2,7,8.0,8.3,0,K
123,4.7,8.6,5.3,8.0,9.3,8.4,7.7,7.2,7.8,8.6,8.4,7,8.2,7.7,0,TB
124,8.7,9.3,8.7,8.6,9.2,8.3,8.6,8.1,9.0,8.9,8.1,7,7.6,8.6,0,G
125,5.4,7.7,5.3,7.5,9.1,7.7,8.2,6.2,7.6,8.0,8.2,7,8.2,7.4,0,K
126,3.7,7.3,5.1,8.1,9.0,7.9,8.5,6.7,6.6,8.6,7.9,7,8.2,7.3,0,TB
127,6.5,8.3,6.2,8.4,9.5,7.8,8.5,6.7,9.2,8.6,7.8,7,8.5,8.0,0,K
128,6.0,8.3,6.6,8.3,9.5,8.6,8.6,7.9,9.0,8.2,8.8,7,7.8,8.1,0,K
129,4.8,8.1,6.2,8.3,9.5,7.7,8.8,7.8,7.7,8.4,8.1,7,8.3,7.8,0,TB
130,7.4,8.4,7.4,9.1,9.8,8.3,9.3,8.4,8.4,8.8,8.1,7,8.0,8.5,0,G
131,8.8,9.2,7.3,8.8,9.6,8.5,8.6,8.5,8.8,8.7,8.3,7,8.2,8.6,0,G
132,8.3,9.0,7.3,8.7,9.5,8.5,8.9,9.0,8.0,8.6,8.6,7,8.1,8.5,1,G
133,9.0,9.0,8.3,8.7,9.5,8.9,9.5,8.7,8.7,8.8,8.3,7,8.5,8.8,0,G
134,7.0,8.1,7.3,6.7,9.5,8.0,7.9,6.9,8.9,8.0,8.2,7,8.4,7.9,1,K
135,6.0,7.7,6.1,8.0,8.8,7.4,8.7,7.9,8.6,8.0,8.3,7,8.0,7.8,0,K
136,5.5,8.0,5.7,7.8,9.4,7.9,8.5,7.1,8.6,8.7,8.2,7,8.4,7.8,1,K
137,8.8,9.0,7.2,8.8,9.4,8.5,9.4,8.2,9.5,9.1,8.3,7,8.3,8.7,0,G
138,4.0,7.8,7.2,6.5,9.3,8.1,7.8,6.6,8.0,8.6,8.3,7,8.6,7.6,1,TB
139,7.8,8.4,7.6,9.2,9.3,8.5,8.4,7.2,9.2,9.1,8.4,7,8.0,8.4,1,G
140,5.3,7.6,5.2,8.3,9.1,8.3,8.4,7.1,7.5,7.4,7.5,7,8.1,7.5,2,K
141,6.2,7.8,6.5,8.3,9.4,8.7,9.9,8.5,8.0,8.5,8.5,7,8.3,8.2,0,K
142,8.0,8.8,6.5,7.9,9.3,8.7,9.4,8.4,8.6,8.8,9.0,7,8.4,8.5,1,G
143,7.2,8.2,6.8,8.1,9.1,8.9,9.4,8.9,8.2,9.0,8.5,7,8.2,8.4,0,G
144,7.4,8.1,6.5,7.8,8.8,8.3,8.8,7.6,8.0,8.2,8.2,7,8.3,8.0,3,G
145,5.8,7.4,6.0,7.3,9.1,7.4,8.1,7.7,8.2,8.0,7.8,7,8.1,7.6,0,K
146,6.8,8.0,6.6,7.9,9.3,8.6,8.9,7.8,8.5,8.4,8.1,7,8.3,8.1,0,G
147,9.0,9.6,8.2,9.2,9.6,8.4,8.8,9.0,8.7,8.0,9.1,7,8.0,8.8,0,G
148,6.1,8.1,6.1,8.1,9.1,8.1,8.7,8.0,8.5,8.4,7.9,7,7.5,7.9,0,K
149,8.0,8.2,6.5,9.4,9.3,7.8,9.1,7.8,7.5,8.3,9.0,7,8.0,8.2,0,G
150,8.4,8.7,8.3,7.8,9.9,8.9,9.0,8.7,8.9,8.5,9.1,7,8.0,8.7,0,G
