Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
1,8.3,8.2,5.5,8.3,9.5,7.7,8.3,7.3,6.5,8.6,8.8,7,8.1,7.9,2,K
2,8.6,9.2,7.1,8.7,9.3,8.4,9,8.8,8,8.6,9.2,7,7.9,8.6,0,G
3,5.9,8.4,5.6,8,9.4,8.5,9.2,8.7,7,8.7,7.6,7,8.3,7.9,4,K
4,9.3,9.4,8,9,9.5,8.2,9.7,9.1,8.8,8.8,8.9,7,8.3,8.9,0,G
5,5.6,7.6,5,7.3,9.3,7.8,7,5.9,7.2,7.1,7.6,7,8.1,7.1,3,K
6,7.4,8.7,6,7.9,9.7,7.5,7.5,6.5,7.3,7.7,7.5,7,8.3,7.7,0,K
7,5.3,7.6,5.8,6.8,9.2,7.9,8.4,6.7,8.4,8.5,7.1,7,8.6,7.5,0,K
8,7,7.6,7.2,6.8,9.2,7.3,7.8,6.6,6.5,7.5,7.3,7,8.2,7.4,1,K
9,7.7,7.6,7,8.7,9.6,8,8.9,7.9,6.6,8.2,7.5,7,8.1,8,0,G
10,8.3,8.4,6.9,8.4,9.6,8.3,8.8,7.5,8.3,7.9,7.9,7,8.6,8.2,0,G
11,9.1,9.7,9.4,9.3,9.7,8.5,9.4,9,9.7,8.8,9.1,7,8.2,9.2,0,G
12,4,7.4,5.1,7.8,8.7,7.2,7.5,6.9,5.9,7.9,7.8,7,8.3,7,0,TB
13,9.5,9.3,6.6,7.3,9.7,7.8,8.1,6.8,9,8,7.1,7,8.1,8.1,1,G
14,8.6,9.5,6.3,8.5,9.6,7.5,8,7.6,7.4,7.8,7.9,7,8.5,8.1,2,K
15,8,9.3,6.7,7.6,9,7.8,9.1,7.6,6.8,8.3,7.4,7,8.2,8,3,G
16,6.2,7.4,5,8.1,9.4,7.8,7.7,7.7,6.7,7.8,7.4,7,8,7.4,0,K
17,8.5,9.3,7.4,8.8,9,8,8.6,8.4,6.6,7.8,8.3,7,8.1,8.2,0,G
18,5.1,7.5,5.1,7,9.2,7.2,8.1,5.7,7,7.5,6.9,7,8.7,7.1,9,K
19,9,8.5,5.9,8.9,9.3,8.3,8.5,8.8,6.9,8.8,8.2,7,8,8.3,1,K
20,8.4,8.8,7.2,8.4,9.5,7.7,8.3,7.9,7.8,8.2,8.7,7,7.9,8.2,0,G
21,6.8,6.9,5.3,7.3,9.2,8.4,8,8.1,8,7.3,7.8,7,8.2,7.6,6,K
22,9.6,8.9,7.7,8.1,9.4,8.6,8.9,7.3,7.5,8.8,8.2,7,8.3,8.4,0,G
23,8.9,8.9,7,7.5,9.2,8.4,8.6,8.7,7.7,8.3,8.1,7,8.1,8.3,0,G
24,6.1,7.3,6.1,8.4,9.2,8.4,8.3,8.1,6.5,8.1,7.6,7,8.1,7.7,1,K
25,9.8,9.7,7.5,9.6,9.6,8.6,9.7,9.3,8,9.1,9.6,7,8.3,9.1,0,G
26,9,9.5,6.8,9.4,9.3,8.3,9.4,8.8,8.5,9,9.3,7,8.3,8.8,0,G
27,9.2,9.5,8.2,8.4,9.2,8.4,8.9,8.3,8.2,8.7,8.8,7,7.7,8.6,0,G
28,7.5,8.3,6.5,8.1,9.7,8.7,9.3,8.4,8.6,8.7,8.7,7,8,8.4,0,G
29,8.7,9.4,7.8,8.3,9.5,8.3,8.8,8.5,8,8.4,8.3,7,8.2,8.5,0,G
30,5.6,7.2,5.4,7.9,9.7,8.5,8.5,8.3,7.4,8.9,8.1,7,8.7,7.9,0,K
31,5.4,7.7,6.3,8.2,9.2,8.5,7.3,8.7,7.5,8.2,8.2,7,8.2,7.8,1,K
32,9.3,9.4,7,9.2,9.6,8.4,9.2,8,7.7,8.6,8.8,7,8.1,8.6,2,G
33,8.2,9.2,7,9.3,9.4,8.3,8.5,7.6,8,9.2,8.3,7,8.1,8.4,2,G
34,8,8.4,7.2,8.1,9.5,7.9,8.8,7.9,7.4,8,8,7,8.2,8.1,0,G
35,8.2,8.6,8.6,8.5,9.2,8.2,9.2,8.3,8.2,8.4,7.9,7,7.7,8.4,1,G
36,8.5,8.7,5.3,8.6,9.2,7.8,7.7,7.6,7.3,8.3,8.2,7,8,7.9,0,K
37,6.5,7.5,5.4,7.4,9.3,7.8,8.1,7.3,8,7.7,7.8,7,7.8,7.6,1,K
38,7.7,8.4,7.8,8.3,9.3,8.4,9.9,8.7,7.2,8.9,8.8,7,8.5,8.5,0,G
39,6.1,6.3,6.5,7.1,9.4,7.4,8.1,7.0,7.3,8.5,7.5,7,8.2,7.5,6,K
40,7.1,8.2,8.1,7.2,9.4,6.4,7.2,6.7,6.1,7.9,7.4,7,8.7,7.5,1,K
41,7.6,6.9,7.2,8.5,9.4,7.9,8.2,7.6,6.5,8.6,8.2,7,8.4,7.9,1,K
42,6.9,9.0,8.5,9.4,8.9,8.0,9.3,8.4,6.5,8.7,9.2,7,8.0,8.4,0,G
43,7.4,7.5,7.3,6.6,9.5,7.8,8.7,7.0,7.8,8.3,8.4,7,8.1,7.9,0,K
44,7.8,8.1,8.2,8.0,9.4,7.1,7.7,7.5,6.7,7.9,7.7,7,8.4,7.9,0,K
45,5.6,8.1,7.6,7.2,9.4,7.4,8.3,7.5,6.5,8.0,7.9,7,7.9,7.6,0,K
