Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
305,8.7,8.1,7.7,7.6,9.3,6.2,8.1,7.2,7.7,7.9,8.6,7,8.7,8.0,0,K
306,8.2,7.3,7.2,7.5,9.4,6.8,8.3,7.8,9.1,8.1,8.1,7,8.1,8.0,7,G
307,8.7,8.2,8.2,6.5,8.8,6.5,8.9,7.7,6.7,8.7,5.8,7,8.1,7.7,9,K
308,8.8,7.3,7.3,5.9,8.7,5.9,7.7,6.6,7.6,7.9,6.3,7,8.3,7.4,0,K
309,6.0,6.0,6.1,6.0,9.2,5.2,7.4,6.6,6.3,7.5,5.3,7,9.0,6.7,27,TB
310,9.0,8.4,6.7,6.6,8.6,5.9,8.5,7.1,9.2,7.8,7.4,7,8.1,7.8,0,K
311,9.3,8.0,8.8,8.6,9.1,7.6,9.0,8.2,8.2,8.5,8.0,7,8.0,8.4,1,G
312,7.8,8.0,6.8,7.5,8.8,7.6,9.0,7.2,9.1,8.2,7.6,7,8.1,8.0,1,K
313,8.3,8.2,8.0,7.4,9.6,6.5,7.9,8.3,8.1,7.9,8.9,7,8.5,8.1,1,G
314,7.4,7.8,6.6,6.1,9.3,6.5,6.3,6.4,8.0,8.0,5.3,7,8.7,7.2,0,K
315,8.0,6.9,7.7,8.0,8.7,5.9,7.0,6.8,7.8,8.6,7.1,7,8.1,7.6,9,K
316,9.3,8.6,8.5,7.9,8.8,6.8,7.9,7.2,8.8,8.1,7.8,7,8.3,8.2,1,G
317,9.1,8.5,8.3,7.3,9.3,6.5,7.2,7.5,8.6,8.0,8.0,7,8.4,8.1,1,G
318,9.0,8.1,7.8,7.2,9.4,7.3,7.6,8.2,8.4,8.7,8.2,7,8.4,8.2,0,G
319,9.8,9.1,7.5,6.8,9.2,6.2,6.7,7.1,9.0,8.0,7.5,7,8.1,7.9,0,K
320,9.7,8.9,9.3,8.2,8.9,6.7,9.0,7.9,8.6,8.0,8.2,7,8.3,8.5,0,G
321,9.5,9.0,7.7,7.3,9.3,7.3,8.6,8.4,9.1,8.5,8.1,7,8.5,8.4,4,G
322,9.5,9.1,7.7,7.4,9.1,6.9,9.0,7.6,8.9,8.5,8.0,7,8.0,8.3,1,G
323,8.5,7.3,7.9,7.4,9.0,7.2,8.2,8.3,7.4,8.4,8.4,7,8.2,8.0,1,G
324,9.9,9.4,8.4,9.0,9.5,8.8,9.7,9.2,9.6,9.4,9.9,7,8.6,9.3,0,G
325,7.8,6.5,6.9,8.4,8.7,7.2,7.5,7.5,8.3,8.7,6.9,7,9.0,7.8,0,K
326,6.5,7.1,6.9,6.3,9.0,6.1,6.9,7.2,7.1,7.8,7.4,7,8.5,7.2,0,K
327,8.8,7.2,8.1,8.3,9.1,7.2,8.3,7.3,7.9,7.6,8.4,7,8.0,8.0,0,G
328,9.2,7.9,8.6,8.1,9.6,7.5,8.9,9.1,8.5,8.5,9.1,7,8.3,8.6,0,G
329,7.3,7.7,7.7,6.5,9.3,6.5,8.8,8.3,8.8,8.5,6.2,7,8.1,7.8,9,K
330,9.9,9.1,9.6,9.6,9.7,8.5,9.4,9.3,9.1,8.9,9.5,7,8.4,9.3,0,G
331,9.5,9.0,8.7,8.5,9.1,6.5,8.4,7.9,8.0,8.1,7.7,7,8.1,8.3,0,G
332,8.7,8.2,8.3,7.7,9.5,6.7,8.0,7.4,8.7,8.0,8.2,7,8.2,8.1,1,G
333,8.0,8.4,8.0,7.8,8.8,8.2,8.1,8.0,8.3,8.4,8.2,7,8.2,8.2,0,G
334,9.7,9.0,8.4,8.7,9.0,7.4,8.7,8.6,8.8,8.8,8.6,7,8.7,8.7,0,G
335,8.3,8.5,8.1,7.8,9.4,6.9,7.6,8.1,9.0,8.4,8.5,7,8.2,8.2,1,G
336,9.3,8.3,8.5,8.2,9.0,6.4,7.8,8.3,7.9,8.2,7.8,7,8.0,8.1,0,K
337,7.7,7.8,8.5,6.2,8.5,6.9,7.6,6.9,8.2,8.1,7.7,7,9.0,7.8,0,K
338,8.6,8.4,8.3,8.2,9.3,6.4,8.7,8.0,9.2,8.5,8.0,7,8.1,8.3,5,K
339,7.8,7.4,6.0,6.3,8.7,7.7,7.4,6.8,8.4,8.2,7.5,7,8.0,7.5,0,K
340,6.4,7.4,8.1,7.1,9.4,6.6,8.3,6.9,8.0,8.2,7.5,7,8.3,7.7,1,K
341,9.5,8.5,9.5,9.0,9.0,7.3,9.0,8.0,8.7,8.7,7.8,7,8.3,8.6,0,G
342,9.1,7.9,8.0,7.4,9.1,8.6,8.9,8.1,7.4,8.3,7.6,7,8.5,8.2,2,G
343,7.3,7.3,6.5,6.8,9.1,7.8,8.9,7.8,7.4,8.1,7.3,7,8.4,7.7,0,K
344,8.5,7.9,7.5,7.3,9.2,8.2,9.2,8.5,7.5,8.3,8.0,7,8.5,8.2,1,G
345,6.5,7.0,7.9,6.9,8.9,7.6,9.1,8.3,7.5,7.7,7.2,7,8.0,7.7,7,K
346,8.2,7.7,8.2,7.9,9.2,7.4,8.3,8.2,7.1,8.4,6.7,7,8.3,8.0,4,G
347,7.7,5.8,7.3,7.1,8.7,6.6,7.5,6.4,7.2,7.7,6.6,7,8.2,7.2,0,K
348,7.4,6.6,6.3,6.1,9.0,6.8,8.0,6.4,5.5,7.2,5.8,7,8.1,6.9,0,K
349,6.7,8.3,8.1,8.5,9.0,8.0,8.7,8.4,7.1,8.4,8.3,7,8.7,8.2,0,G
350,9.0,8.8,9.2,9.3,9.3,8.0,8.9,8.6,8.0,8.7,9.1,7,8.1,8.8,1,G
351,5.6,7.4,7.6,7.8,8.9,7.1,7.4,7.1,6.8,7.3,6.7,7,8.1,7.3,7,K
352,8.2,7.5,7.9,7.8,9.0,8.0,9.1,7.9,6.8,8.3,7.0,7,8.2,8.0,1,G
353,7.7,7.8,6.9,5.6,9.0,7.3,7.1,6.9,6.8,7.4,6.8,7,8.3,7.3,2,K
354,6.9,7.4,8.5,7.1,8.9,7.3,6.6,7.8,7.4,8.4,7.1,7,8.1,7.6,9,K
355,8.4,7.1,7.2,6.8,8.7,7.8,7.8,7.8,9.1,8.3,7.2,7,8.3,7.9,2,K
356,8.0,7.1,7.0,7.6,8.8,7.9,8.5,7.7,6.8,8.7,7.5,7,8.2,7.8,0,K
357,7.1,6.3,6.1,7.0,8.8,7.3,8.2,6.8,7.5,8.2,7.5,7,8.0,7.4,6,K
358,9.0,7.4,8.3,8.6,8.6,6.9,7.5,7.8,8.1,8.4,7.2,7,8.2,8.0,3,G
359,5.5,5.8,6.7,7.0,8.9,7.2,6.9,6.2,6.5,7.2,6.5,7,8.4,6.9,0,K
360,9.5,8.9,8.8,6.9,9.0,6.5,7.9,8.3,7.3,7.5,7.4,7,8.0,8.0,0,G
361,5.1,7.5,6.0,6.1,8.1,5.0,6.1,6.2,9.0,6.8,6.5,7,8.1,6.7,6,TB
362,7.8,6.9,7.6,7.6,8.9,5.9,7.3,6.3,6.8,8.0,6.7,7,8.1,7.3,2,K
363,8.3,8.6,7.7,7.5,9.1,7.5,8.3,7.9,7.8,8.5,7.3,7,8.2,8.1,0,G
364,9.5,8.7,8.4,8.2,8.9,7.0,6.9,8.2,7.7,7.9,8.0,7,8.3,8.1,2,G
365,9.2,8.9,7.7,7.2,8.9,7.5,8.1,7.6,9.0,8.3,7.7,7,8.2,8.2,4,G
366,7.4,8.3,7.4,7.6,9.1,7.6,7.6,7.2,7.7,8.6,7.7,7,8.2,7.9,12,K
367,8.8,7.8,8.2,8.1,8.8,7.8,7.5,8.6,7.5,8.2,6.5,7,8.3,8.0,1,G
368,8.3,8.7,7.8,7.3,8.9,7.2,7.0,8.0,7.8,8.0,8.0,7,8.9,8.0,0,G
369,9.4,9.0,8.9,7.3,8.9,7.4,6.1,8.1,8.0,8.3,7.2,7,8.2,8.1,1,K
370,9.0,8.4,7.6,7.7,9.3,8.2,8.9,7.9,7.8,8.4,8.0,7,8.2,8.3,1,G
371,5.2,6.8,6.5,6.1,9.0,8.7,9.2,8.8,7.0,8.3,6.5,7,8.1,7.5,0,K
372,9.0,7.5,6.8,7.3,8.9,8.2,8.0,7.7,9.0,8.6,7.6,7,8.3,8.1,1,G
373,5.9,6.5,6.0,5.8,9.1,7.5,7.3,8.2,6.5,8.3,6.9,7,8.1,7.2,0,K
374,7.5,7.1,6.7,7.5,8.9,7.0,8.8,8.2,6.5,8.4,7.6,7,8.2,7.7,1,K
375,8.4,6.9,7.5,5.3,8.7,7.0,6.0,8.1,6.5,7.3,5.5,7,8.5,7.1,3,K
376,7.1,7.6,7.4,6.6,8.9,7.8,7.2,8.9,6.9,8.3,7.1,7,8.7,7.7,2,K
377,4.7,6.6,6.6,6.5,8.5,6.5,7.2,6.5,4.5,8.5,6.2,7,8.6,6.7,0,TB
