Classes = TB,K,G
Attributes = stt{Floating_Point},toan{Floating_Point},ly{Floating_Point},hoa{Floating_Point},sinh{Floating_Point},tin{Floating_Point},van{Floating_Point},su{Floating_Point},dia{Floating_Point},nn{Floating_Point},gdcd{Floating_Point},cn{Floating_Point},theduc{Floating_Point},qpan{Floating_Point},tbcmcn{Floating_Point},songaynghi{Floating_Point}
378,6.8,7.1,7.3,6.9,9.0,6.6,8.0,6.9,4.5,7.7,5.6,7,8.2,7.1,0,TB
379,5.1,7.5,7.7,7.8,8.8,7.1,8.3,6.1,6.5,8.3,6.5,7,8.1,7.3,0,K
380,3.7,5.9,6.8,5.9,8.7,4.3,8.4,5.9,4.3,7.8,5.5,7,8.3,6.3,4,Y
381,9.1,7.8,8.6,8.5,8.5,7.1,8.7,7.4,9.2,8.3,7.0,7,8.2,8.2,0,G
382,7.7,8.4,7.3,8.1,9.1,7.2,8.4,7.5,5.4,8.6,8.2,7,8.2,7.8,0,K
383,8.6,7.7,8.1,8.4,9.0,8.4,8.5,8.4,7.4,8.4,8.2,7,8.2,8.3,0,G
384,8.0,7.5,8.1,8.0,8.8,7.2,7.2,7.0,7.1,8.1,6.5,7,8.7,7.7,1,K
385,8.9,8.5,8.2,8.8,8.7,7.1,7.0,8.1,6.3,8.6,8.4,7,8.3,8.1,1,K
386,9.9,7.4,8.3,9.0,8.8,8.6,7.6,8.3,7.8,8.3,7.4,7,8.5,8.3,0,G
387,4.8,6.5,7.1,6.5,8.6,6.9,5.3,5.5,4.6,7.4,6.5,7,8.3,6.5,0,TB
388,7.6,7.1,7.5,8.6,8.6,7.3,7.9,7.5,6.1,8.1,6.9,7,8.5,7.6,0,K
389,8.4,7.9,8.0,9.2,9.2,8.0,9.0,7.8,8.3,8.9,7.6,7,8.1,8.4,1,G
390,5.9,7.8,7.4,8.6,9.3,7.7,8.4,7.6,5.5,8.6,8.7,7,8.3,7.8,0,K
391,5.2,7.1,7.1,8.3,9.5,7.1,7.7,6.4,5.0,8.0,8.9,7,8.4,7.4,1,K
392,8.5,6.8,7.8,8.7,9.0,7.3,7.9,7.4,8.9,8.8,7.7,7,8.5,8.1,2,G
393,5.9,7.3,7.4,6.6,8.4,7.9,9.1,7.4,5.3,8.3,7.8,7,8.3,7.5,1,K
394,9.3,8.3,8.2,8.8,9.2,9.0,9.3,8.6,8.6,8.2,8.6,7,8.2,8.7,1,G
395,8.0,8.6,8.0,8.0,8.9,7.7,9.0,7.8,6.6,8.6,7.2,7,8.2,8.1,2,G
396,5.4,6.9,7.7,7.2,8.8,6.5,9.0,8.1,4.4,9.1,7.3,7,8.2,7.4,1,TB
397,9.4,8.7,7.8,8.9,9.0,6.6,8.5,7.7,6.2,8.3,8.5,7,8.3,8.2,4,K
398,8.9,8.4,8.2,9.3,9.1,8.1,9.1,8.5,7.6,8.6,8.4,7,8.1,8.5,2,G
399,4.3,5.7,6.4,5.3,8.0,6.1,5.8,5.5,4.5,7.3,5.8,7,8.2,6.1,0,TB
400,4.3,6.7,6.7,6.2,8.9,6.2,5.4,5.7,4.5,7.3,6.7,7,8.3,6.4,0,TB
401,6.3,7.1,8.1,6.9,8.6,6.2,6.5,7.5,4.8,8.2,6.8,7,8.2,7.1,3,TB
402,9.4,8.2,8.7,9.2,8.8,8.4,9.2,9.3,6.3,9.0,8.8,7,8.3,8.6,0,K
403,4.1,7.0,6.3,7.3,8.4,6.5,6.2,8.1,5.3,8.0,5.7,7,8.3,6.8,0,TB
404,7.7,6.0,6.8,6.8,8.4,6.5,6.7,6.2,6.3,7.6,6.8,7,8.0,7.0,4,K
405,5.0,6.7,6.8,8.0,8.5,6.6,8.0,7.4,4.6,7.9,7.8,7,8.3,7.1,0,TB
406,4.0,6.7,7.4,6.1,8.6,7.5,7.9,6.4,4.5,8.4,6.3,7,8.2,6.8,1,TB
407,9.3,8.7,8.0,7.5,8.9,7.4,8.5,8.1,6.5,8.4,8.9,7,8.7,8.2,0,G
408,9.7,9.0,8.5,9.2,9.2,8.1,8.3,8.7,8.3,9.0,8.5,7,8.3,8.7,0,G
409,5.6,7.6,7.2,7.4,9.0,7.4,8.6,7.4,5.0,8.1,7.8,7,8.4,7.5,0,K
410,5.2,7.7,7.4,6.5,9.0,7.0,7.4,6.9,5.9,8.5,7.0,7,8.7,7.3,0,K
411,6.9,7.4,7.8,7.3,9.0,7.1,8.8,8.9,6.4,8.0,7.8,7,8.2,7.8,1,K
412,5.9,7.5,8.6,7.0,8.9,5.6,8.1,5.7,5.8,8.0,7.0,7,8.3,7.2,8,TB
413,5.8,6.2,7.1,7.4,9.1,7.5,8.6,8.0,6.6,8.2,6.8,7,8.3,7.5,12,K
414,9.0,7.9,8.1,8.2,9.3,7.3,8.8,8.3,7.4,9.0,8.8,7,8.2,8.4,2,G
415,7.3,7.3,8.6,8.4,9.4,8.1,8.5,8.5,7.1,8.5,7.1,7,8.4,8.1,2,G
416,8.9,8.1,8.7,6.8,8.9,7.2,8.6,8.2,6.6,7.9,8.9,7,8.0,8.1,0,G
417,8.9,8.6,8.1,8.2,8.9,7.7,9.2,9.1,9.2,8.7,9.3,7,8.2,8.7,2,G
418,8.6,7.9,8.2,7.6,9.1,7.4,8.1,8.6,7.8,8.2,8.4,7,8.3,8.2,5,G
419,9.5,8.6,8.5,7.9,9.2,8.2,9.5,9.2,9.2,8.3,8.4,7,8.3,8.7,15,G
420,6.7,7.4,7.9,7.2,9.0,7.6,8.4,8.2,5.2,8.1,7.2,7,8.4,7.6,8,K
421,6.5,7.2,8.0,7.9,9.1,7.2,8.8,8.4,6.1,8.8,8.3,7,8.4,7.9,9,K
422,6.1,6.6,7.7,7.4,8.8,7.0,7.9,7.2,9.0,8.0,7.1,7,8.2,7.6,13,K
423,8.7,7.4,7.7,8.0,8.8,7.1,7.6,8.4,8.4,8.2,7.1,7,8.1,8.0,10,G
424,5.8,7.1,8.0,6.7,8.7,6.5,7.6,6.0,5.2,8.0,6.5,7,8.3,7.0,4,K
425,8.9,8.3,8.2,7.8,8.9,7.8,9.1,8.6,7.9,8.1,8.6,7,8.3,8.4,4,G
426,8.8,8.9,8.4,9.2,9.1,8.6,9.2,8.8,9.1,9.0,8.9,7,8.2,8.9,3,G
427,9.0,7.9,7.8,6.7,9.3,6.7,8.8,8.0,7.6,8.2,8.0,7,8.3,8.0,7,G
428,9.2,7.8,7.5,7.3,8.8,7.6,8.6,8.4,8.0,8.3,7.4,7,8.3,8.1,7,G
429,9.2,8.0,8.7,8.4,8.6,8.2,9.2,8.6,9.2,8.4,9.0,7,8.7,8.7,0,G
430,5.9,7.3,8.3,6.7,8.7,6.5,7.4,6.9,6.0,7.4,7.3,7,8.3,7.2,6,K
431,8.7,8.3,8.0,7.8,9.5,7.0,8.8,8.7,8.4,7.9,9.1,7,8.2,8.4,0,G
432,6.1,6.2,7.0,6.1,9.2,6.2,5.6,6.1,6.9,7.6,5.7,7,8.3,6.8,2,TB
433,8.1,7.5,7.2,6.1,8.9,7.0,7.7,7.1,5.9,8.1,7.5,7,8.1,7.4,5,K
434,8.4,8.4,7.8,7.8,9.1,7.7,8.3,9.1,8.2,8.2,8.2,7,8.0,8.3,7,G

